,Q1,Q2,Q3,Q4,Q5,LS
20200131,0.9607392967010259,0.9501455459111464,0.9571659129726842,0.9720427225152293,0.9970075722883722,1.0362682755873465
20200229,0.9093787791632318,0.9138615093471798,0.9079563612057812,0.8952860562511279,0.8826156059850062,0.9727699697450383
20200331,0.8746637934927612,0.9026743206460904,0.9035827070312025,0.904744084990289,0.934815557649607,1.0674367674684466
20200430,0.9219923163081918,0.9534289762250538,0.9600105036888814,0.9614176183533616,0.9834090886696041,1.0651646360291172
20200531,0.9583739869726793,0.9853137389787388,1.0088329925921884,1.0265284534773806,1.08726028244457,1.1356182534311787
20200630,1.0566698321071657,1.0929128401233998,1.1167886586858904,1.1473574316639412,1.1813728220169277,1.1174416838862875
20200731,1.1202679166477514,1.1478145776390978,1.1762611877884437,1.1950717917503224,1.2099199307391708,1.0771881609972467
20200831,1.0623355107341343,1.0746403991158253,1.0922490243289338,1.0983062958295335,1.1039206065817482,1.0385218968531968
20200930,1.0805863190277818,1.1070010139136126,1.1437511241238736,1.141907221589707,1.1483902941421429,1.0625154083049746
20201031,1.1101475425549772,1.136457684132373,1.1590542883660773,1.131530088509791,1.1169084015364439,1.0043208200010316
20201130,1.0298908473442447,1.079701900110644,1.0848269521839202,1.076436946331011,1.125105850629289,1.0842980304306273
20201231,0.9503936438035454,1.0027311288355258,1.0196833468829662,1.0198271806598975,1.1301842515238019,1.1728891269361943
20210131,1.0183287119009143,1.0671763960541993,1.083119876985913,1.0832426655043543,1.1181654234893479,1.07657689524654
20210228,1.0624271707598634,1.1024475970627914,1.1158962346162498,1.1078251279382156,1.0852383064104132,0.9982535729270681
20210331,1.0730008107263245,1.1107944512613661,1.1262321714676693,1.1147107367971822,1.1288041361615866,1.0283925233913458
20210430,1.1392889123723413,1.1524985953518458,1.1678014863568953,1.157126768549451,1.1683086066240032,1.0008506340873227
20210531,1.190615853913056,1.170382061574408,1.1785629752097435,1.1786057726405565,1.2138632234601985,0.9947856830391683
20210630,1.1316509194122892,1.117919739082558,1.1289457337422646,1.1682411651808229,1.2105965168332773,1.0413750475025183
20210731,1.1808542078861288,1.191908410972392,1.2159287158198548,1.2849520976244915,1.3136037869530037,1.0847054316886708
20210831,1.204224106644557,1.2002901082301338,1.2184299582806661,1.2746465864547762,1.2779490844691836,1.0337965898723507
20210930,1.2278334189087403,1.2066397277378593,1.227846349985282,1.318245962862708,1.3284935704288992,1.05441652882754
20211031,1.3742206334663494,1.3474865833551088,1.3706973855413533,1.4682373755016953,1.4321611631501527,1.0109850502375763
20211130,1.43596705054215,1.4265842275885536,1.4494383691021722,1.5016092835078163,1.374194279963747,0.9246397844269146
20211231,1.338295793274071,1.3703383128256994,1.3843553864040252,1.3706776281727957,1.2238492222209603,0.8863705959574724
20220131,1.3822335202896558,1.4575385239795677,1.4925031091071408,1.4564998026916611,1.2873855838617854,0.9032861671742071
20220228,1.2707806244736115,1.4003785686660986,1.4378463270518453,1.375058042988152,1.2048927063137072,0.918239737809499
20220331,1.0994803403262003,1.2247069543881324,1.2661083893874172,1.1752898863535493,1.0028082648109011,0.8880107278767216
20220430,1.2408213170902271,1.3890663695597472,1.4536012529221856,1.3523322049252406,1.1536545682647419,0.9074327175909417
20220531,1.3513260919118601,1.4752218977326474,1.5354389939090105,1.4166213519711714,1.2049461774899932,0.8669633453489161
20220630,1.3853934621022677,1.5234006887670115,1.5850500745228104,1.4782102380237523,1.2678597240012914,0.8903734528613183
20220731,1.3567413953522238,1.498591745791329,1.5737382588409725,1.4750728704641936,1.2468596119797442,0.8940401020209737
