forward,mean_ic,std_ic,icir,win_rate,t_stat
1,-0.005846,0.137092,-0.0426,0.5052,-1.6254
5,-0.010057,0.137576,-0.0731,0.4572,-2.7817
10,-0.01468,0.137855,-0.1065,0.4664,-4.0452
21,-0.026085,0.139809,-0.1866,0.4281,-7.0603
60,-0.050517,0.110554,-0.4569,0.364,-17.0547
