,IC
20200131,0.13652428455886773
20200229,-0.23267823113733985
20200331,0.26022892337401027
20200430,0.01569187075770742
20200531,0.20887954377283177
20200630,-0.051995565929581024
20200731,-0.11586937512845535
20200831,-0.19594844639820816
20200930,0.046445413945568385
20201031,-0.21872985385203222
20201130,0.14662785280430482
20201231,0.1626345234247409
20210131,-0.21040738284384866
20210228,-0.19297205902759418
20210331,0.07310645568729765
20210430,-0.07016343137528433
20210531,-0.049993835167751924
20210630,0.09585925103751262
20210731,0.09553410118380157
20210831,-0.19083623430197344
20210930,0.03421290095178284
20211031,-0.11805038606873998
20211130,-0.2567412806309428
20211231,-0.18245356673596408
20220131,0.06399822478091059
20220228,0.011797156161822156
20220331,-0.12440564323815342
20220430,0.06695800922959069
20220531,-0.12977800795373953
20220630,0.07683364417248968
20220731,0.03678198034733561
20220831,0.019215822969790408
20220930,-0.03619890519411012
20221031,-0.007695107096299714
20221130,-0.05903785364686039
20221231,-0.1662902418844107
20230131,-0.09880765189581756
20230228,-0.21506182268036392
20230331,0.06300652263804117
20230430,0.13230207263068156
20230531,0.02231102186431111
20230630,-0.367197971772256
20230731,-0.005941600757686275
20230831,-0.08518717486235645
20230930,-0.06592678584454267
20231031,0.03959600273993781
20231130,-0.009254919619641885
20231231,-0.05947303514723704
20240131,0.07070863778106828
20240229,0.12568426415031786
20240331,0.08343890846386506
20240430,-0.052018272240942826
20240531,0.2363428505102092
20240630,0.020519054627398604
20240731,-0.01759599480545243
20240831,-0.18697353459410093
20240930,-0.09809250944886236
20241031,-0.12271817924950969
20241130,0.03670345136541533
20241231,-0.010384628703143916
20250131,-0.10787707564869144
20250228,-0.20986022640945762
20250331,-0.011269944438898692
20250430,-0.0419003537288738
20250531,0.0004632675812492942
20250630,-0.1478595238704959
20250731,0.1294685871925642
20250831,-0.12563685733780677
20250930,-0.24381323965009602
20251031,-0.212999947901437
20251130,0.21212789712491997
20251231,0.0019275964504770987
