,Q1,Q2,Q3,Q4,Q5,LS
20200131,0.9892594386265136,0.9768065578643075,0.9618644774205495,0.9569398334007867,0.9456086313970062,0.9563491927704927
20200229,0.8851258433581174,0.8930634412409839,0.9012097505481902,0.9088337137055637,0.9034296715735817,1.014360474057931
20200331,0.9122022793287115,0.8944805153941032,0.9001531472688047,0.9021425030584894,0.8915043342515813,0.9699410550367447
20200430,0.9750857599518137,0.9681338848901688,0.9653536764615319,0.9563347418948053,0.9341340019510235,0.9494576298312309
20200531,1.0690543156933323,1.0486183336723025,1.019821387727753,0.9984209822466403,0.9628224687607067,0.887117920224256
20200630,1.1438920435311823,1.1510215707387375,1.1373137657038315,1.1166265670065534,1.0651859495715825,0.9193312804846419
20200731,1.1706656279904746,1.2001790674122157,1.1970324987926833,1.1724951118215274,1.1097337765368502,0.9362616410060907
20200831,1.076088903467207,1.099198453613616,1.1074051411430137,1.0935985885561006,1.0470720278333279,0.9590345921141181
20200930,1.1272039836485888,1.1627954371010252,1.1619834083790956,1.1242121307164552,1.0636738047002385,0.9286855904724208
20201031,1.0920689936960557,1.140770727001832,1.1624458797111412,1.1527835891487623,1.1166217867729797,1.0038612392529391
20201130,1.0673235376608456,1.067688826280239,1.0816806738369138,1.0885203093284823,1.0718785048308104,0.9863830325339945
20201231,1.0494453836929722,1.0120226775448173,1.0161223415893448,1.0175108931122612,1.0066904074655598,0.9429168501234942
20210131,1.0369478852867782,1.0482932126147557,1.0763373677477552,1.0850742910181557,1.0854409487662857,1.027907451824133
20210228,1.0029015047271297,1.0600610645129989,1.111064936692161,1.1225497626045815,1.1379407065681442,1.111374028148564
20210331,1.0335348446345118,1.0678784257645875,1.120289619895329,1.1286613759035096,1.1605698985795547,1.099528310643514
20210430,1.087235864921306,1.112879782745514,1.1692295262163084,1.177469482067762,1.2045522849384827,1.0840674416210596
20210531,1.1478481513229835,1.1386458949404068,1.1939165555341098,1.2028183735250308,1.2087912402535386,1.0274467471403153
20210630,1.1093195263060631,1.0986625851288188,1.1532583338515556,1.1685649888080296,1.1541427705927623,1.01548395095795
20210731,1.1464616410489705,1.1734624987531024,1.2462182766161514,1.277695437222766,1.2541976124499452,1.0695178725249648
20210831,1.0804247887150962,1.1104524605581667,1.2193506907121168,1.30145656136663,1.334326039768103,1.1994522906192016
20210930,1.1535429054795325,1.1638988053025667,1.2544622322822139,1.303504265975885,1.297649235912418,1.085309436476897
20211031,1.291608716581519,1.343315925152737,1.4347042781720345,1.4483026870633067,1.3826288745429656,1.0264844495310175
20211130,1.241786113014245,1.3371080771995263,1.4731731551641292,1.5148082711358932,1.4792724975416256,1.1378298090856638
20211231,1.0874731868887464,1.2089108498354846,1.3637899417944062,1.433158990526094,1.445704631241654,1.253404607060325
20220131,1.1153520679425937,1.2663639405506675,1.441711587408768,1.538326984543415,1.5527368196536264,1.3140671740791696
20220228,1.024279219278815,1.1577088763921375,1.3458660592135154,1.4625552681409624,1.537342906147706,1.4083381563441169
20220331,0.8588708785586057,0.9673005259121226,1.1416725819114042,1.2645070864653167,1.3926073734384483,1.5031770531029474
20220430,0.9760288435377212,1.128603302427438,1.3141624756519867,1.4544649435007095,1.55006918764627,1.468093645585558
20220531,1.0446282696479616,1.2170235704976302,1.403675841387015,1.5364667432818504,1.5941183563398953,1.4066294532266674
20220630,1.0840147646000284,1.2668592573738795,1.4765807760441196,1.5978615706185595,1.6191080672534257,1.3756447225516424
20220731,1.0560396275114772,1.2330810047616545,1.4547096745555985,1.5892610092674553,1.6098743839867025,1.4033007200206888
20220831,0.9608354171833141,1.0965228517121448,1.296205300201183,1.4264229133621802,1.4729005825019785,1.4104134695628223
20220930,1.0455814411371855,1.2016978423551694,1.4302836598239288,1.541207560168789,1.5372350307630613,1.3476195918464902
20221031,1.092312996406287,1.2755153012525369,1.5304573753255617,1.660019498885308,1.6751225402932162,1.4082679553997597
20221130,1.0473802731715396,1.2208638108180174,1.4601584872220499,1.5725489671506097,1.6025375798483972,1.405175761230429
20221231,1.1438435352786314,1.3635826375694962,1.6501445207887047,1.7488928515221271,1.731244071325609,1.3886152310452804
