,IC
20200131,-0.10805674373271161
20200229,0.24959887131161126
20200331,-0.1206328832103622
20200430,-0.09457397105115334
20200531,-0.18953840378095038
20200630,0.12323136490962402
20200731,0.08222565047534447
20200831,0.16904894985014632
20200930,-0.05773426958812502
20201031,0.2910566417224008
20201130,0.027987229668085437
20201231,-0.07634327150322918
20210131,0.2811469041151013
20210228,0.246649846053982
20210331,-0.02350292075634212
20210430,-0.04371320793195741
20210531,-0.09481092330700695
20210630,0.04505146557723609
20210731,0.1690727717611528
20210831,0.31639750045848797
20210930,-0.24416997147125977
20211031,-0.15751398101305605
20211130,0.3729683790424482
20211231,0.3617881168418317
20220131,0.16872615867134597
20220228,0.26219420465312043
20220331,0.20735295577342544
20220430,-0.09613276309096898
20220531,-0.14850315908407508
20220630,-0.033468054203245
20220731,0.13085702863870302
20220831,0.06657189658928267
20220930,-0.1308460187198882
20221031,0.18584214312391492
20221130,0.017262493283475875
20221231,-0.05350712963591549
20230131,0.18565569858756795
20230228,0.1125607377895749
20230331,0.22554353808246055
20230430,0.03322273233650693
20230531,0.0053348978939684495
20230630,0.33014773752606613
20230731,0.24946277505583148
20230831,0.12956343356338032
20230930,-0.05011806661562248
20231031,0.007151179863691336
20231130,0.1642036346533183
20231231,0.38898066691346006
20240131,-0.15836954473851486
20240229,0.0032834713131817857
20240331,0.18303782296708437
20240430,0.1298939992905803
20240531,-0.012036288332418332
20240630,0.1253468768919538
20240731,0.1590368332270839
20240831,-0.15772742248642302
20240930,-0.19314972943694836
20241031,0.16399899273375546
20241130,0.10073522901814037
20241231,-0.11518049466686217
20250131,-0.12904715387199822
20250228,0.2696376788112458
20250331,0.11477835620853899
20250430,0.012595094214603522
20250531,-0.03167503476894539
20250630,0.12690332091469775
20250731,-0.19903119788479043
20250831,0.12276918886233065
20250930,0.23510247670390125
20251031,0.12949594734575162
20251130,-0.02431367716923548
20251231,0.08076406230565855
