,IC
20200131,-0.13906024476860793
20200229,0.4495210866406914
20200331,0.040100077453157634
20200430,-0.0357594760773984
20200531,-0.14001572460568695
20200630,0.13494551781880426
20200731,0.2232342344594044
20200831,0.12490374206568536
20200930,-0.13560532222060126
20201031,0.31406557035305294
20201130,0.01965219721283442
20201231,0.10338962698672838
20210131,0.20715017178137463
20210228,0.2710784262254813
20210331,0.1222634943006453
20210430,-0.08854842020390553
20210531,-0.03203990890408156
20210630,-0.000165454021098922
20210731,0.041070510926498945
20210831,0.34077417224873036
20210930,0.0030192880390673667
20211031,-0.04918835800105323
20211130,0.39803824802780796
20211231,0.3322023616676199
20220131,-0.021056764022827718
20220228,0.0077635175499912315
20220331,0.2267886279562866
20220430,-0.1580358864919906
20220531,0.04878497191391662
20220630,-0.06666240051499359
20220731,0.15291617450524894
20220831,0.2659385103876947
20220930,-0.02448040297660316
20221031,0.17916563473167732
20221130,0.15978625796220872
20221231,0.08415159145935137
20230131,0.17239873135038375
20230228,0.01731780603402108
20230331,0.11824733472991207
20230430,-0.050262544549785876
20230531,-0.023197122565175393
20230630,0.38159419086982094
20230731,0.20464056694998917
20230831,0.1781638552869106
20230930,-0.050690716672582965
20231031,0.05131301010606363
20231130,0.14645441167208081
20231231,0.39334437757225094
20240131,0.18461268716728693
20240229,-0.2960136091296423
20240331,0.40696641158318014
20240430,0.06477483070200675
20240531,0.08138966780889197
20240630,0.0761328673565631
20240731,0.21112184697639258
20240831,-0.2983781964926965
20240930,-0.4082017093649407
20241031,0.09532062006189505
20241130,0.2520355876719577
20241231,-0.13068072582124185
20250131,-0.22785253711376918
20250228,0.46895686410424603
20250331,0.16034848861014148
20250430,-0.10021584151651328
20250531,0.03683705512109765
20250630,0.10572374979443523
20250731,0.002923539292604376
20250831,0.08508171887487323
20250930,0.2962834967392025
20251031,0.2396746344115897
20251130,-0.06507763088407044
20251231,0.07657039340212597
