,Q1,Q2,Q3,Q4,Q5,LS
20200131,-0.00541599572403006,-0.014646674511372516,-0.03178276487707961,-0.04692259459813701,-0.07120156479833865,-0.06578556907430859
20200229,-0.1497930934432446,-0.09329270518018214,-0.05404188105764393,-0.03146084370140606,-0.025729075587370996,0.12406401785587359
20200331,-0.007928069447113,0.013428800684067786,0.0058148067296381984,-0.001513177189979125,0.0001664591531731424,0.008094528600286142
20200430,0.0654608359200763,0.05999552168828252,0.06318552210446025,0.0658032963278977,0.05532284022904182,-0.010137995691034483
20200531,0.08656035902973223,0.0823489485201542,0.06672995530618774,0.04156116955416401,0.026237878755668267,-0.060322480274063964
20200630,0.08015413807649091,0.08267863899136188,0.11078784940677912,0.11741637450126172,0.11090205324955348,0.030747915173062565
20200731,-0.0008428000347057655,0.037272040787736486,0.05450893889248902,0.05663617088338255,0.06403922035818632,0.06488202039289209
20200831,-0.07841103679332251,-0.07180433412118496,-0.07588927345057792,-0.07573631859637298,-0.06569388882731084,0.012717147966011672
20200930,0.09628066566460183,0.04443118910295391,0.0153146916759402,0.012965163948048869,0.013707585410281086,-0.08257308025432075
20201031,-0.04303618707904803,-0.007125763332663663,0.004428461618118754,0.03156195170722967,0.03373181583975689,0.07676800291880492
20201130,-0.024560469087885787,-0.04556361723643151,-0.06519606019091924,-0.06054073062114109,-0.05567726998181645,-0.031116800893930662
20201231,-0.06776476284695672,-0.0488034709549823,-0.042724593335050104,-0.04745948091981672,-0.05510953662470624,0.01265522622225048
20210131,0.0064665737101330546,0.035961872731773224,0.06236246561692308,0.06144231969381275,0.06261503092084987,0.05614845721071682
20210228,-0.022824331967750036,0.008952492965971401,0.02174030771471995,0.04099390991945675,0.045916632036282705,0.06874096400403273
20210331,-0.007353032563711332,0.01292550028373975,0.025111920639547116,0.02001688238706168,0.017766682805185514,0.025119715368896844
20210430,0.06684726844180293,0.05343553209252139,0.037858651665276445,0.035879285560012124,0.0206457162574349,-0.04620155218436803
20210531,0.03912268567827952,0.03570650187888604,0.01934959645044229,0.018781699342439815,0.0010566481005124663,-0.03806603757776705
20210630,-0.023982249882213064,-0.01336057703228869,-0.03999690680848747,-0.046026522679342645,-0.050959815370097764,-0.0269775654878847
20210731,0.07073886906139769,0.07509386594360876,0.0672865573381647,0.07844976749276093,0.06558977730045475,-0.005149091760942942
20210831,-0.0675860364728658,-0.0445411896726548,-0.0066702948165569724,0.01587200643922193,0.03624789888483698,0.10383393535770279
20210930,0.03489460565499807,0.023243090667968726,0.029843889768725436,0.021946137300047772,0.0021715964761857137,-0.03272300917881236
20211031,0.10568880390393086,0.13594826400727367,0.13936007199203165,0.12549578554603988,0.08405508163308996,-0.0216337222708409
20211130,-0.03831173070375193,-0.004890033594287883,0.022399708699304854,0.05527145640743863,0.06969843433971007,0.108010165043462
20211231,-0.11371899747587745,-0.08832610325834216,-0.07790786795926001,-0.056528461319454604,-0.029110351417370436,0.08460864605850701
20220131,0.0628662568179925,0.05253670818677012,0.06287174685127919,0.05418132101328595,0.04458952432665835,-0.01827673249133415
20220228,-0.03814176069893337,-0.06841631638141342,-0.07020848067693737,-0.05963270338921734,-0.05770623593918034,-0.019564475240246966
20220331,-0.18445305017906613,-0.14148699289504568,-0.14328538455709075,-0.12486259221073026,-0.1134034846794264,0.07104956549963973
20220430,0.14976180780703377,0.16366994346798153,0.1604164499973507,0.14999834935875175,0.09706716225653543,-0.05269464555049834
20220531,0.03777220501296876,0.07851048007692406,0.07434015925608776,0.07891384966002338,0.05420502581592673,0.01643282080295797
20220630,0.06435060152406376,0.0382210314644649,0.03221020454260434,0.033743361542963986,0.01835548125520291,-0.04599512026886085
20220731,-0.03141272606076561,-0.01615842933453893,-0.01532893806582146,-0.009456861967620002,-0.005470978580585551,0.02594174748018006
20220831,-0.11973118843314454,-0.1074944503822961,-0.10276652930255954,-0.09696434191038943,-0.07491657945752081,0.044814608975623726
20220930,0.07639661556218276,0.08526550084410621,0.09884202009585953,0.09220583102302614,0.05954556910414476,-0.016851046458037998
20221031,0.043932286958594115,0.06210145220253145,0.07879275230595768,0.08090426905375042,0.0774798667082294,0.033547579749635285
20221130,-0.057766646061818104,-0.046082449533306154,-0.042470592817974155,-0.04349386842380747,-0.03419194313006111,0.023574702931756994
20221231,0.07258921390491024,0.11377473769301451,0.12111720517890671,0.12468252074787654,0.09894865152955501,0.026359437624644766
20230131,0.013133929018181629,0.029827024261751458,0.036319345998836856,0.05185717812250475,0.042224167238344046,0.029090238220162417
20230228,0.019615960526010813,-0.010937143635322149,-0.00954208901093886,-0.012807170592375575,-0.010757935833265165,-0.030373896359275978
20230331,-0.013780699004600255,-0.01319050768061243,-0.02229959697544088,-0.026075909114563384,-0.004767784189992297,0.009012914814607958
20230430,0.030553606504705663,0.002160549108798701,-0.004308020864566852,0.0027207775750571553,0.00459659858319516,-0.025957007921510504
20230531,0.007422084619149297,0.0033818218730668156,0.0024968449579181027,-0.0024783403724266658,-0.009458479694722943,-0.01688056431387224
20230630,-0.05519234285736489,-0.008184962416544992,0.01996320832824325,0.03466752858398709,0.04426695549579092,0.09945929835315581
20230731,-0.07206599656569582,-0.07491632935509854,-0.07143024350947,-0.06528128305201625,-0.050167064418678416,0.0218989321470174
20230831,-0.02661378091986241,-0.005367369477998073,0.0014243618563862985,-0.00024256227653837977,0.0006463293022685077,0.027260110222130915
20230930,0.014520675948090957,0.008253645592792638,0.008804350065298337,-0.006036170650900025,-0.013147088263666944,-0.0276677642117579
20231031,0.05342616425394652,0.05896754337618791,0.06087776999438651,0.061125550959241215,0.11008858892794647,0.05666242467399995
20231130,0.006467695648398448,-0.049913855430534344,-0.04058389981727119,-0.03477140560018917,-0.024273433365037882,-0.03074112901343633
20231231,-0.15046583988199855,-0.13413243302022668,-0.11316972725058044,-0.09951964410528073,-0.05039607426639911,0.10006976561559944
20240131,0.0010355756574278207,-0.009961186523480103,-0.009840807582634664,0.015082212405132535,0.04037509848726379,0.03933952282983597
20240229,0.10558292523773027,0.10020762536386478,0.06887087601700094,0.03675807788514627,0.021302419141585458,-0.08428050609614482
20240331,-0.07080999850983177,-0.030284241673687397,-0.005325348173960088,0.020409419376162655,0.04024160024675304,0.11105159875658481
20240430,-0.034109085271620404,-0.02929044949395949,-0.04340886266910066,-0.032410794529480855,-0.019415895173724863,0.01469319009789554
20240531,-0.09246342430084387,-0.07853380691002737,-0.08458238472899911,-0.07783413161024184,-0.07774180417596654,0.014721620124877322
20240630,-0.027950901951578948,-0.026575561164986383,-0.030732231992364335,-0.03395750260427627,-0.030689746997915365,-0.0027388450463364175
20240731,-0.06527912536919246,-0.04460946069655787,-0.030110171336977326,-0.03141895879855348,-0.026084924447028743,0.03919420092216372
20240831,0.4290339046913881,0.4302093744123992,0.387552268409836,0.3368625317985444,0.2842656753662474,-0.14476822932514066
20240930,0.3775294894026217,0.23712966245281328,0.16910715883135718,0.12925004863514106,0.10710063313756188,-0.27042885626505986
20241031,0.04921050222884886,0.043577207396977104,0.04812366530975715,0.06176830546022477,0.054430101678252685,0.005219599449403825
20241130,-0.048614177011305756,-0.004060934934318899,0.004911699902788319,0.012925087609575834,0.014574928487826301,0.06318910549913206
20241231,0.00713572409743034,0.007923869415083095,-0.000658805669264755,-0.013363389957933831,-0.03472424626302915,-0.041859970360459485
20250131,0.1336398441175347,0.12519398097339904,0.10097635601867994,0.0748756084677729,0.03559626170204589,-0.09804358241548883
20250228,-0.08563818844025552,-0.03453279786987704,-0.0036402014362551796,0.015686187618557113,0.02638368057964999,0.1120218690199055
20250331,-0.06118232428576395,-0.04788594737452261,-0.042548541934321574,-0.03578510913666134,-0.025765242953059583,0.03541708133270437
20250430,0.07700923769395274,0.07125095372523775,0.0631003692497813,0.059880294733145725,0.040980186934334174,-0.03602905075961856
20250531,0.02138516345874373,0.05143424444299891,0.05007874156646205,0.04310741083122324,0.016879641692208177,-0.004505521766535552
20250630,0.06311024679196887,0.0738820686535226,0.08602972736409145,0.08824867978412777,0.0662297599102301,0.0031195131182612246
20250731,0.08046286009082128,0.09604154540129849,0.080767100923799,0.07343913971454812,0.04867591537397365,-0.03178694471684763
20250831,-0.015810686551591794,0.0018657664254861004,-0.0023622956757272905,-0.004549872187376989,-0.018269230772363833,-0.0024585442207720395
20250930,-0.00971195194582762,0.011284069172102727,0.03569971131513838,0.05528807663467098,0.052992122851751366,0.06270407479757899
20251031,-0.01650284253546697,-0.009449695262332476,-0.0030533766295383394,0.015634239196031883,0.013289219546044027,0.029792062081510997
20251130,0.05103137721799926,0.0416394654342932,0.03399126540370636,0.02902804588918745,0.00832171265620081,-0.04270966456179845
20251231,0.07232458333684566,0.09248071576949099,0.08540319869540311,0.0797624817706587,0.06730943667879069,-0.00501514665805497
