forward,mean_ic,std_ic,icir,win_rate,t_stat
1,0.052127,0.179252,0.2908,0.618,11.085
5,0.073901,0.174208,0.4242,0.6706,16.1424
10,0.084014,0.171979,0.4885,0.693,18.557
21,0.100709,0.177691,0.5668,0.7186,21.4472
60,0.131308,0.138885,0.9454,0.8492,35.2867
