,Q1,Q2,Q3,Q4,Q5,LS
20200131,0.9945840042759699,0.9853533254886275,0.9682172351229203,0.953077405401863,0.9287984352016614,0.9342144309256915
20200229,0.8456021895863033,0.8934270481955049,0.9158929544644466,0.9230927861151733,0.9049013100569259,1.0501168267652712
20200331,0.8388981967026322,0.9054247019514773,0.9212186949796947,0.9216959831669895,0.9050519391627032,1.0586170274531643
20200430,0.8938131739106312,0.959746129294514,0.9794263791943761,0.9823466170715599,0.9551219829919859,1.0478847725903884
20200531,0.9711819631498398,1.0387802138882052,1.044783457703718,1.0231740913846303,0.9801823577786031,0.9846737640663127
20200630,1.0490262163215496,1.1246651481836378,1.1605327700784915,1.1433114836786362,1.0888865938152386,1.0149504294369638
20200731,1.0481420969900266,1.166583713459284,1.2237921799254312,1.208064268241193,1.1586180423416474,1.0808024638974676
20200831,0.9659561884583114,1.082817946717721,1.1309194805363914,1.1165699279367838,1.0825039174747386,1.0945471887528817
20200930,1.0589590932859192,1.1309288356724083,1.1482391636911207,1.1310464401119453,1.0973424323804875,1.004167055893849
20201031,1.0133855316382074,1.1228701044433218,1.1533240967559475,1.1667444732333925,1.134357785222697,1.0812549553716757
20201130,0.9884963076142965,1.0717080807982344,1.0781319095242092,1.0961089103756645,1.0711998405588774,1.0476097602097993
20201231,0.9215110897537213,1.019405006604778,1.0320691621282463,1.0440881504576496,1.0121665137132185,1.060867498717892
20210131,0.9274701091403188,1.0560647197144315,1.0964315397657556,1.1082393483865902,1.0755433512664205,1.1204335720758938
20210228,0.9063012234791348,1.0655191316892856,1.1202682988283874,1.1536704124035475,1.124928679565591,1.1974532559228726
20210331,0.8996371610703613,1.0792914995282656,1.1484003874435664,1.1767632973620623,1.144914930593889,1.227532940879214
20210430,0.9597754478766531,1.1369640150884939,1.1918772776840607,1.2189847237446572,1.1685525193898314,1.1708190136531522
20210531,0.9973244410456614,1.177561022829477,1.214939622025699,1.2418793283290566,1.1697872681897938,1.126250573082667
20210630,0.9734063570868658,1.1618281280737432,1.166345795185598,1.1847199412587124,1.110175124980551,1.0958670744915617
20210731,1.0422640219243657,1.2490742937728267,1.244825188409481,1.2776609451944958,1.1829912641925298,1.0902243543672085
20210831,0.9718215277242298,1.1934390387386538,1.2365218374077136,1.2979399879437652,1.225872211918626,1.2034266395039663
20210930,1.0057328567012047,1.2211782505227498,1.2734244588199313,1.3264247571264014,1.2285343116942826,1.1640468985334507
20211031,1.1120275593728384,1.3871953137247572,1.4508889830774907,1.4928854739896944,1.3317988635527978,1.1388642312203443
20211130,1.0694238589829956,1.3804118820388045,1.483388473653457,1.5753994283866142,1.424623159197833,1.261873144796549
20211231,0.9478100498626653,1.2584854796068026,1.3678208403157754,1.4863445227363707,1.3831518783962595,1.3686385230753753
20220131,1.0073953198720058,1.3246021640061925,1.4538181259260128,1.5668766324590895,1.4448259627254727,1.343624282911792
20220228,0.9689714886522223,1.2339777632740399,1.3517477641241549,1.4734395429881608,1.3614504948293833,1.3173369788965696
20220331,0.7902417420337695,1.0593859602490414,1.1580620659174379,1.2894620621848654,1.2070572644972017,1.410933198863779
20220430,0.9085897739253265,1.2327756004737753,1.3438342714085112,1.4828792430733273,1.3242228878430813,1.3365845740542215
20220531,0.9429092131387208,1.3295614046940898,1.4437351251588084,1.5998989527251852,1.3960024236646567,1.3585484288476526
20220630,1.0035859881867792,1.3803786129768407,1.490238128845516,1.6538849215192009,1.421626719984451,1.2960618304717328
20220731,0.9720606164614451,1.3580738627041455,1.4673943608651174,1.6382443601060659,1.413849030649828,1.3296839391965303
20220831,0.8556746436234612,1.2120884592542016,1.3165953352808617,1.4793930738399743,1.3079282974042112,1.38927320499279
20220930,0.9210452904186704,1.315437788799872,1.4467302778688076,1.615801741623098,1.38580963222056,1.365862497672549
20221031,0.9615089164192051,1.397128385766431,1.560722138306454,1.7465270004648918,1.4931819778079896,1.4116838787402548
20221130,0.9059657711591346,1.3327452874377999,1.4944373438684426,1.6705637849080448,1.4421271845399466,1.4449639068151068
20221231,0.971729114312332,1.4843780329276368,1.6754394182727772,1.8788538886804933,1.584823724784288,1.4830523427866626
20230131,0.9844917355246106,1.5286526125293805,1.7362902822051163,1.9762859494519585,1.6517415867828753,1.5261946887312965
20230228,1.0038034865468453,1.5119335193376362,1.7197224457834868,1.9509753181580123,1.6339722567791297,1.4798382094316946
20230331,0.9899703728389749,1.4919903486382378,1.6813733283328955,1.9001018630769677,1.6261818296863721,1.4931758651527043
20230430,1.0202175380620138,1.4952138670563242,1.6741299369533114,1.9052716176163518,1.633656734780726,1.4544174873927274
20230531,1.0277896789594503,1.5002704140168481,1.678309979845293,1.9005497060459744,1.6182048257266552,1.429866099457574
20230630,0.9710635586130594,1.4879907570634658,1.7118144316123143,1.9664370673056113,1.689837826730171,1.5720795784485881
20230731,0.9010828955329783,1.3765159514299568,1.5895391099192215,1.838065532510857,1.6050636236194789,1.6065064424667455
20230831,0.8771016727606283,1.369127681726274,1.5918031887966246,1.8376196871508643,1.6061010232714295,1.650299985160952
20230930,0.889837781924314,1.3804279763825245,1.6058179813058484,1.8265275011277682,1.5849854713581142,1.6046398742928514
20231031,0.9373784014207697,1.4618284229575642,1.7035765990246359,1.9381750009764092,1.7594742853712249,1.695562660298867
20231130,0.9434410796285415,1.3888629303898143,1.6344388169987725,1.8707819318933112,1.7167658035477689,1.6434391498082541
20231231,0.8014854252030535,1.2025713664050268,1.4494698218712598,1.6846023798326994,1.630247546614161,1.807897720333066
20240131,0.802315423999177,1.19059232871647,1.4352058682573892,1.710009910743528,1.6960689518673278,1.8790195539761168
20240229,0.88702623342836,1.3098987587535813,1.534049753669016,1.7728665882270105,1.7321993235730349,1.7206548350024573
20240331,0.824215907161116,1.2702294681754247,1.5258804046145509,1.809049765924122,1.8019057962999567,1.9117363053377279
20240430,0.7961026565015316,1.2330238760920933,1.459643671681166,1.7504170256671499,1.7669201822460696,1.9398258102891035
20240531,0.7224922787864015,1.1361898170916234,1.3361835290757806,1.6141748365185649,1.6295566194433326,1.9683831889766121
20240630,0.70229796794127,1.1059949351124703,1.2951196268758478,1.5593614903037285,1.5795459390738384,1.9629920924301918
20240731,0.6564525708455027,1.0566570975239784,1.256123353008734,1.5103679758878248,1.5383436025924864,2.0399299989095194
