forward,mean_ic,std_ic,icir,win_rate,t_stat
1,-0.005818,0.126499,-0.046,0.498,-1.2754
5,-0.010988,0.125624,-0.0875,0.4437,-2.4177
10,-0.01319,0.126436,-0.1043,0.4756,-2.874
21,-0.017905,0.129946,-0.1378,0.4826,-3.7684
60,-0.044194,0.102136,-0.4327,0.3611,-11.5216
