,Q1,Q2,Q3,Q4,Q5,LS
20200603,1.0,1.0,1.0,1.0,1.0,1.0
20200604,1.0,1.0,1.0,1.0,1.0,1.0
20200605,1.0,1.0,1.0,1.0,1.0,1.0
20200608,1.0,1.0,1.0,1.0,1.0,1.0
20200609,1.0,1.0,1.0,1.0,1.0,1.0
20200610,1.0,1.0,1.0,1.0,1.0,1.0
20200611,1.0,1.0,1.0,1.0,1.0,1.0
20200612,1.0,1.0,1.0,1.0,1.0,1.0
20200615,1.0,1.0,1.0,1.0,1.0,1.0
20200616,1.0,1.0,1.0,1.0,1.0,1.0
20200617,1.0,1.0,1.0,1.0,1.0,1.0
20200618,1.0,1.0,1.0,1.0,1.0,1.0
20200619,1.0,1.0,1.0,1.0,1.0,1.0
20200622,1.0,1.0,1.0,1.0,1.0,1.0
20200623,1.0,1.0,1.0,1.0,1.0,1.0
20200624,1.0,1.0,1.0,1.0,1.0,1.0
20200629,1.0,1.0,1.0,1.0,1.0,1.0
20200630,1.0,1.0,1.0,1.0,1.0,1.0
20200701,1.0,1.0,1.0,1.0,1.0,1.0
20200702,1.0,1.0,1.0,1.0,1.0,1.0
20200703,1.0,1.0,1.0,1.0,1.0,1.0
20200706,1.0,1.0,1.0,1.0,1.0,1.0
20200707,1.0,1.0,1.0,1.0,1.0,1.0
20200708,1.0,1.0,1.0,1.0,1.0,1.0
20200709,1.0,1.0,1.0,1.0,1.0,1.0
20200710,1.0,1.0,1.0,1.0,1.0,1.0
20200713,1.0,1.0,1.0,1.0,1.0,1.0
20200714,1.0,1.0,1.0,1.0,1.0,1.0
20200715,1.0,1.0,1.0,1.0,1.0,1.0
20200716,1.0,1.0,1.0,1.0,1.0,1.0
20200717,1.0,1.0,1.0,1.0,1.0,1.0
20200720,1.0,1.0,1.0,1.0,1.0,1.0
20200721,1.0,1.0,1.0,1.0,1.0,1.0
20200722,1.0,1.0,1.0,1.0,1.0,1.0
20200723,1.0,1.0,1.0,1.0,1.0,1.0
20200724,1.0,1.0,1.0,1.0,1.0,1.0
20200727,1.0,1.0,1.0,1.0,1.0,1.0
20200728,1.0,1.0,1.0,1.0,1.0,1.0
20200729,1.0,1.0,1.0,1.0,1.0,1.0
20200730,1.0,1.0,1.0,1.0,1.0,1.0
20200731,1.0,1.0,1.0,1.0,1.0,1.0
20200803,1.0,1.0,1.0,1.0,1.0,1.0
20200804,1.0,1.0,1.0,1.0,1.0,1.0
20200805,1.0,1.0,1.0,1.0,1.0,1.0
20200806,1.0,1.0,1.0,1.0,1.0,1.0
20200807,1.0,1.0,1.0,1.0,1.0,1.0
20200810,1.0,1.0,1.0,1.0,1.0,1.0
20200811,1.0,1.0,1.0,1.0,1.0,1.0
20200812,1.0,1.0,1.0,1.0,1.0,1.0
20200813,1.0,1.0,1.0,1.0,1.0,1.0
20200814,1.0,1.0,1.0,1.0,1.0,1.0
20200817,1.0,1.0,1.0,1.0,1.0,1.0
20200818,1.0,1.0,1.0,1.0,1.0,1.0
20200819,1.0,1.0,1.0,1.0,1.0,1.0
20200820,1.0,1.0,1.0,1.0,1.0,1.0
20200821,1.0,1.0,1.0,1.0,1.0,1.0
20200824,1.0,1.0,1.0,1.0,1.0,1.0
20200825,1.0,1.0,1.0,1.0,1.0,1.0
20200826,1.0,1.0,1.0,1.0,1.0,1.0
20200827,1.0,1.0,1.0,1.0,1.0,1.0
20200828,1.0,1.0,1.0,1.0,1.0,1.0
20200831,1.0,1.0,1.0,1.0,1.0,1.0
20200901,1.0,1.0,1.0,1.0,1.0,1.0
20200902,1.0,1.0,1.0,1.0,1.0,1.0
20200903,1.0,1.0,1.0,1.0,1.0,1.0
20200904,1.0,1.0,1.0,1.0,1.0,1.0
20200907,1.0,1.0,1.0,1.0,1.0,1.0
20200908,1.0,1.0,1.0,1.0,1.0,1.0
20200909,1.0,1.0,1.0,1.0,1.0,1.0
20200910,1.0,1.0,1.0,1.0,1.0,1.0
20200911,1.0,1.0,1.0,1.0,1.0,1.0
20200914,1.0,1.0,1.0,1.0,1.0,1.0
20200915,1.0,1.0,1.0,1.0,1.0,1.0
20200916,1.0,1.0,1.0,1.0,1.0,1.0
20200917,1.0,1.0,1.0,1.0,1.0,1.0
20200918,1.0,1.0,1.0,1.0,1.0,1.0
20200921,1.0,1.0,1.0,1.0,1.0,1.0
20200922,1.0,1.0,1.0,1.0,1.0,1.0
20200923,1.0,1.0,1.0,1.0,1.0,1.0
20200924,1.0,1.0,1.0,1.0,1.0,1.0
