ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,adj_close,adj_open,adj_high,adj_low
301489.SZ,20231024,71.0,80.88,67.09,70.15,41.66,28.49,68.3869,104108.45,745745.697,1.0,49.751773049645394,50.354609929078016,57.361702127659576,47.58156028368795
301489.SZ,20231025,63.68,100.78,62.53,80.57,70.15,10.42,14.8539,104672.45,773861.509,1.0,57.1418439716312,45.16312056737589,71.47517730496455,44.347517730496456
301489.SZ,20231026,72.0,89.94,71.1,81.0,80.57,0.43,0.5337,94521.06,759012.323,1.0,57.4468085106383,51.06382978723405,63.7872340425532,50.42553191489362
301489.SZ,20231027,78.0,121.98,75.01,96.02,81.0,15.02,18.5432,102100.27,1047847.555,1.0,68.09929078014184,55.319148936170215,86.51063829787235,53.19858156028369
301489.SZ,20231030,86.97,94.99,78.22,79.5,96.02,-16.52,-17.2047,88479.69,746284.524,1.0,56.38297872340426,61.68085106382979,67.36879432624113,55.47517730496454
301489.SZ,20231031,75.57,77.33,70.07,70.18,79.5,-9.32,-11.7233,71930.28,529112.673,1.0,49.77304964539008,53.59574468085106,54.84397163120568,49.695035460992905
301489.SZ,20231101,69.0,69.86,65.65,66.05,70.18,-4.13,-5.8849,51438.68,346297.111,1.0,46.84397163120568,48.93617021276596,49.54609929078014,46.56028368794327
301489.SZ,20231102,67.37,69.48,66.64,67.01,66.05,0.96,1.4534,53836.93,365489.828,1.0,47.52482269503547,47.780141843971634,49.27659574468085,47.26241134751773
301489.SZ,20231103,65.0,68.38,63.05,66.64,67.01,-0.37,-0.5522,50029.62,328658.018,1.0,47.26241134751773,46.09929078014185,48.49645390070922,44.71631205673759
301489.SZ,20231106,68.0,72.0,67.33,71.7,66.64,5.06,7.593,55917.55,393852.687,1.0,50.85106382978724,48.22695035460993,51.06382978723405,47.751773049645394
301489.SZ,20231107,73.35,81.08,70.61,76.55,71.7,4.85,6.7643,73837.21,553552.395,1.0,54.290780141843975,52.02127659574468,57.50354609929078,50.07801418439716
301489.SZ,20231108,75.0,87.98,74.51,86.45,76.55,9.9,12.9327,82051.23,672473.107,1.0,61.312056737588655,53.19148936170213,62.39716312056738,52.84397163120568
301489.SZ,20231109,83.61,93.0,81.69,84.0,86.45,-2.45,-2.834,62568.41,534245.09,1.0,59.57446808510639,59.297872340425535,65.95744680851064,57.93617021276596
301489.SZ,20231110,83.75,88.5,80.42,87.7,84.0,3.7,4.4048,51072.04,434479.08,1.0,62.19858156028369,59.39716312056738,62.765957446808514,57.03546099290781
301489.SZ,20231113,90.99,100.1,90.99,95.0,87.7,7.3,8.3238,61791.58,588303.985,1.0,67.3758865248227,64.53191489361703,70.99290780141844,64.53191489361703
301489.SZ,20231114,92.92,94.52,84.8,86.55,95.0,-8.45,-8.8947,57121.69,507766.803,1.0,61.38297872340426,65.90070921985816,67.0354609929078,60.1418439716312
301489.SZ,20231115,86.0,86.5,82.9,85.0,86.55,-1.55,-1.7909,33541.69,282790.38,1.0,60.283687943262414,60.99290780141844,61.347517730496456,58.79432624113476
301489.SZ,20231116,84.38,87.88,83.32,84.75,85.0,-0.25,-0.2941,35412.0,304615.069,1.0,60.10638297872341,59.84397163120568,62.326241134751776,59.09219858156028
301489.SZ,20231117,84.32,86.52,82.0,84.63,84.75,-0.12,-0.1416,24908.13,210704.03,1.0,60.02127659574468,59.80141843971631,61.361702127659576,58.15602836879433
301489.SZ,20231120,85.0,92.6,82.01,92.1,84.63,7.47,8.8267,45293.79,399168.905,1.0,65.31914893617021,60.283687943262414,65.67375886524823,58.16312056737589
301489.SZ,20231121,91.0,91.0,81.9,82.46,92.1,-9.64,-10.4669,36821.51,316623.167,1.0,58.4822695035461,64.53900709219859,64.53900709219859,58.08510638297873
301489.SZ,20231122,80.5,81.69,77.65,78.35,82.46,-4.11,-4.9842,28399.29,224983.523,1.0,55.56737588652482,57.09219858156029,57.93617021276596,55.07092198581561
301489.SZ,20231123,76.88,78.37,76.01,77.44,78.35,-0.91,-1.1615,17576.0,135882.957,1.0,54.92198581560284,54.52482269503546,55.58156028368795,53.907801418439725
301489.SZ,20231124,76.83,77.0,73.68,74.56,77.44,-2.88,-3.719,19982.38,149233.373,1.0,52.87943262411348,54.48936170212766,54.60992907801419,52.25531914893618
301489.SZ,20231127,74.96,75.99,74.0,74.85,74.56,0.29,0.3889,14004.69,104747.994,1.0,53.08510638297872,53.16312056737589,53.8936170212766,52.4822695035461
301489.SZ,20231128,75.24,79.1,74.9,79.07,74.85,4.22,5.6379,24909.83,193271.034,1.0,56.07801418439716,53.361702127659576,56.09929078014184,53.12056737588653
301489.SZ,20231129,78.24,78.96,75.18,76.06,79.07,-3.01,-3.8068,19061.05,146696.131,1.0,53.943262411347526,55.48936170212766,56.0,53.31914893617022
301489.SZ,20231130,75.7,75.7,72.31,72.8,76.06,-3.26,-4.2861,19656.85,144578.982,1.0,51.63120567375886,53.68794326241135,53.68794326241135,51.283687943262414
301489.SZ,20231201,72.81,73.79,71.15,73.01,72.8,0.21,0.2885,13094.59,95079.318,1.0,51.780141843971634,51.63829787234043,52.33333333333334,50.46099290780143
301489.SZ,20231204,73.01,76.17,73.01,74.74,73.01,1.73,2.3695,21807.72,162328.409,1.0,53.00709219858156,51.780141843971634,54.02127659574469,51.780141843971634
301489.SZ,20231205,74.75,83.88,74.01,80.69,74.74,5.95,7.9609,46501.53,367335.349,1.0,57.22695035460993,53.01418439716312,59.48936170212766,52.48936170212767
301489.SZ,20231206,79.65,82.5,77.5,77.92,80.69,-2.77,-3.4329,31614.16,251111.273,1.0,55.26241134751773,56.48936170212767,58.51063829787234,54.9645390070922
301489.SZ,20231207,76.78,78.93,73.65,75.15,77.92,-2.77,-3.5549,22017.19,167221.919,1.0,53.29787234042554,54.45390070921986,55.97872340425533,52.23404255319149
301489.SZ,20231208,74.06,79.99,74.03,76.02,75.15,0.87,1.1577,22861.1,175583.018,1.0,53.91489361702128,52.52482269503547,56.73049645390071,52.50354609929079
301489.SZ,20231211,76.49,82.58,75.36,81.95,76.02,5.93,7.8006,35792.94,286954.5,1.0,58.12056737588653,54.248226950354606,58.56737588652482,53.4468085106383
301489.SZ,20231212,81.7,84.8,80.0,82.21,81.95,0.26,0.3173,20317.76,167375.857,1.0,58.30496453900709,57.943262411347526,60.1418439716312,56.73758865248227
301489.SZ,20231213,83.88,84.21,80.23,80.9,82.21,-1.31,-1.5935,15861.9,129257.013,1.0,57.375886524822704,59.48936170212766,59.723404255319146,56.900709219858165
301489.SZ,20231214,81.85,82.28,77.57,77.65,80.9,-3.25,-4.0173,17426.69,137588.7,1.0,55.07092198581561,58.04964539007092,58.354609929078016,55.01418439716312
301489.SZ,20231215,78.0,81.68,77.7,78.72,77.65,1.07,1.378,16372.68,129456.117,1.0,55.82978723404256,55.319148936170215,57.929078014184405,55.10638297872341
301489.SZ,20231218,78.1,78.6,74.44,74.69,78.72,-4.03,-5.1194,15572.8,118527.318,1.0,52.97163120567376,55.39007092198582,55.74468085106383,52.79432624113476
301489.SZ,20231219,74.26,79.27,74.26,78.58,74.69,3.89,5.2082,20186.1,156778.893,1.0,55.73049645390071,52.66666666666667,56.219858156028366,52.66666666666667
301489.SZ,20231220,79.8,83.24,79.41,80.36,78.58,1.78,2.2652,26429.35,214905.696,1.0,56.99290780141844,56.59574468085106,59.0354609929078,56.319148936170215
301489.SZ,20231221,78.01,80.5,76.55,77.93,80.36,-2.43,-3.0239,20636.5,161477.388,1.0,55.2695035460993,55.32624113475178,57.09219858156029,54.290780141843975
301489.SZ,20231222,77.6,77.88,73.6,74.56,77.93,-3.37,-4.3244,20801.9,156606.178,1.0,52.87943262411348,55.0354609929078,55.234042553191486,52.198581560283685
301489.SZ,20231225,74.44,75.96,73.23,74.75,74.56,0.19,0.2548,13182.33,98283.042,1.0,53.01418439716312,52.79432624113476,53.87234042553192,51.936170212765965
301489.SZ,20231226,74.95,75.6,69.3,71.39,74.75,-3.36,-4.495,19902.07,141510.399,1.0,50.63120567375887,53.15602836879433,53.61702127659574,49.14893617021277
301489.SZ,20231227,71.0,71.5,68.99,71.21,71.39,-0.18,-0.2521,13999.93,97795.529,1.0,50.50354609929078,50.354609929078016,50.70921985815603,48.9290780141844
301489.SZ,20231228,70.2,72.73,69.5,72.05,71.21,0.84,1.1796,14580.69,104018.804,1.0,51.09929078014184,49.7872340425532,51.58156028368795,49.290780141843975
301489.SZ,20231229,71.4,76.31,71.12,75.6,72.05,3.55,4.9271,19559.83,145638.555,1.0,53.61702127659574,50.63829787234043,54.12056737588653,50.439716312056746
301489.SZ,20240102,74.74,77.8,74.16,75.22,75.6,-0.38,-0.5026,16617.0,126112.601,1.0,53.347517730496456,53.00709219858156,55.17730496453901,52.59574468085106
301489.SZ,20240103,74.99,75.14,71.15,72.23,75.22,-2.99,-3.975,11813.52,85850.506,1.0,51.22695035460993,53.184397163120565,53.290780141843975,50.46099290780143
301489.SZ,20240104,71.97,72.79,70.7,72.5,72.23,0.27,0.3738,7149.5,51535.27,1.0,51.41843971631206,51.04255319148936,51.62411347517731,50.14184397163121
301489.SZ,20240105,73.01,76.05,70.7,71.97,72.5,-0.53,-0.731,16360.66,119558.101,1.0,51.04255319148936,51.780141843971634,53.93617021276596,50.14184397163121
301489.SZ,20240108,71.1,71.8,67.5,67.8,71.97,-4.17,-5.7941,15816.43,108948.901,1.0,48.08510638297872,50.42553191489362,50.92198581560284,47.87234042553192
301489.SZ,20240109,67.87,69.45,66.71,67.52,67.8,-0.28,-0.413,10698.02,72710.453,1.0,47.88652482269504,48.13475177304965,49.255319148936174,47.31205673758865
301489.SZ,20240110,66.98,67.99,65.45,66.55,67.52,-0.97,-1.4366,7071.73,47052.091,1.0,47.198581560283685,47.50354609929079,48.219858156028366,46.41843971631206
301489.SZ,20240111,66.1,69.2,66.08,68.99,66.55,2.44,3.6664,10706.54,73045.067,1.0,48.9290780141844,46.87943262411348,49.07801418439717,46.86524822695036
301489.SZ,20240112,68.5,69.28,66.8,66.93,68.99,-2.06,-2.9859,7906.05,53639.625,1.0,47.468085106382986,48.58156028368795,49.13475177304965,47.3758865248227
301489.SZ,20240115,66.93,67.44,65.6,66.05,66.93,-0.88,-1.3148,6707.21,44436.096,1.0,46.84397163120568,47.468085106382986,47.82978723404256,46.52482269503546
301489.SZ,20240116,66.05,66.6,64.63,66.45,66.05,0.4,0.6056,7688.21,50331.655,1.0,47.12765957446809,46.84397163120568,47.234042553191486,45.83687943262412
301489.SZ,20240117,66.45,66.54,64.1,64.5,66.45,-1.95,-2.9345,6355.5,41156.055,1.0,45.74468085106383,47.12765957446809,47.19148936170213,45.46099290780142
301489.SZ,20240118,63.09,64.28,61.73,63.31,64.5,-1.19,-1.845,9321.79,58648.289,1.0,44.90070921985816,44.74468085106383,45.58865248226951,43.780141843971634
301489.SZ,20240119,62.86,64.77,61.5,61.66,63.31,-1.65,-2.6062,6994.35,43859.487,1.0,43.73049645390071,44.58156028368794,45.93617021276596,43.61702127659575
301489.SZ,20240122,61.65,62.0,56.2,57.2,61.66,-4.46,-7.2332,9920.0,58631.909,1.0,40.56737588652483,43.72340425531915,43.97163120567376,39.8581560283688
301489.SZ,20240123,57.28,58.26,56.22,56.62,57.2,-0.58,-1.014,7112.69,40574.317,1.0,40.15602836879432,40.62411347517731,41.319148936170215,39.87234042553192
301489.SZ,20240124,56.99,57.41,54.0,56.71,56.62,0.09,0.159,10794.5,59998.268,1.0,40.21985815602837,40.41843971631206,40.71631205673759,38.297872340425535
301489.SZ,20240125,56.8,58.12,55.37,57.67,56.71,0.96,1.6928,10095.13,57686.207,1.0,40.90070921985816,40.283687943262414,41.21985815602837,39.269503546099294
301489.SZ,20240126,58.0,59.89,56.8,57.13,57.67,-0.54,-0.9364,11413.64,66406.652,1.0,40.51773049645391,41.13475177304965,42.47517730496454,40.283687943262414
301489.SZ,20240129,58.19,59.11,55.54,55.91,57.13,-1.22,-2.1355,12617.54,72266.32,1.0,39.65248226950354,41.269503546099294,41.92198581560284,39.39007092198582
301489.SZ,20240130,55.01,55.32,52.8,52.87,55.91,-3.04,-5.4373,10655.77,57390.796,1.0,37.49645390070922,39.01418439716312,39.23404255319149,37.4468085106383
301489.SZ,20240131,53.0,53.4,48.48,48.75,52.87,-4.12,-7.7927,12321.43,61965.41,1.0,34.57446808510638,37.5886524822695,37.87234042553192,34.38297872340426
301489.SZ,20240201,48.48,48.69,45.82,47.28,48.75,-1.47,-3.0154,11984.5,56804.129,1.0,33.53191489361702,34.38297872340426,34.53191489361702,32.49645390070922
301489.SZ,20240202,47.49,48.45,43.21,44.77,47.28,-2.51,-5.3088,11320.0,51667.438,1.0,31.7517730496454,33.68085106382979,34.361702127659576,30.645390070921987
301489.SZ,20240205,44.6,44.6,38.41,38.89,44.77,-5.88,-13.1338,13820.92,55654.666,1.0,27.581560283687946,31.631205673758867,31.631205673758867,27.24113475177305
301489.SZ,20240206,38.0,41.68,36.1,39.86,38.89,0.97,2.4942,17437.42,67024.914,1.0,28.26950354609929,26.95035460992908,29.560283687943265,25.602836879432623
301489.SZ,20240207,39.66,39.99,35.01,35.57,39.86,-4.29,-10.7627,23134.97,86521.723,1.0,25.22695035460993,28.127659574468083,28.361702127659576,24.829787234042552
301489.SZ,20240208,35.88,39.5,32.85,39.21,35.57,3.64,10.2333,30090.35,107776.383,1.0,27.808510638297875,25.446808510638306,28.014184397163124,23.29787234042553
301489.SZ,20240219,39.08,42.12,39.08,41.42,39.21,2.21,5.6363,25970.08,105783.077,1.0,29.375886524822697,27.71631205673759,29.87234042553192,27.71631205673759
301489.SZ,20240220,41.41,45.29,40.32,44.67,41.42,3.25,7.8465,26842.91,114722.665,1.0,31.68085106382979,29.368794326241133,32.12056737588652,28.595744680851062
301489.SZ,20240221,45.0,47.29,43.58,44.81,44.67,0.14,0.3134,29409.73,133748.475,1.0,31.780141843971634,31.91489361702128,33.53900709219858,30.90780141843972
301489.SZ,20240222,45.0,49.5,44.72,47.98,44.81,3.17,7.0743,34023.09,159757.767,1.0,34.02836879432624,31.91489361702128,35.1063829787234,31.71631205673759
301489.SZ,20240223,47.7,48.77,46.52,48.76,47.98,0.78,1.6257,25563.55,121669.637,1.0,34.58156028368794,33.82978723404256,34.58865248226951,32.99290780141845
301489.SZ,20240226,48.34,53.37,47.66,52.35,48.76,3.59,7.3626,33468.57,169334.317,1.0,37.12765957446809,34.283687943262414,37.85106382978724,33.801418439716315
301489.SZ,20240227,52.5,58.0,52.5,57.88,52.35,5.53,10.5635,34931.7,192252.895,1.0,41.04964539007093,37.23404255319149,41.13475177304965,37.23404255319149
301489.SZ,20240228,56.56,58.67,52.14,52.22,57.88,-5.66,-9.7789,41453.27,229977.588,1.0,37.0354609929078,40.11347517730497,41.60992907801419,36.97872340425532
301489.SZ,20240229,51.64,58.95,51.0,58.4,52.22,6.18,11.8345,38384.51,213466.826,1.0,41.41843971631206,36.62411347517731,41.80851063829788,36.17021276595745
301489.SZ,20240301,62.0,70.08,62.0,70.08,58.4,11.68,20.0,30459.62,205404.343,1.0,49.70212765957447,43.97163120567376,49.70212765957447,43.97163120567376
301489.SZ,20240304,82.25,84.1,74.0,78.0,70.08,7.92,11.3014,82336.01,661996.188,1.0,55.319148936170215,58.333333333333336,59.645390070921984,52.4822695035461
301489.SZ,20240305,76.16,93.6,74.5,92.98,78.0,14.98,19.2051,92925.11,800701.474,1.0,65.94326241134752,54.01418439716312,66.38297872340425,52.83687943262412
301489.SZ,20240306,84.0,86.97,80.18,83.47,92.98,-9.51,-10.228,80409.28,671716.662,1.0,59.19858156028369,59.57446808510639,61.68085106382979,56.86524822695037
301489.SZ,20240307,79.95,81.68,73.0,73.21,83.47,-10.26,-12.2918,67638.39,522325.948,1.0,51.92198581560284,56.70212765957447,57.929078014184405,51.77304964539008
301489.SZ,20240308,73.99,80.5,73.02,78.78,73.21,5.57,7.6083,63906.9,497443.843,1.0,55.87234042553192,52.47517730496454,57.09219858156029,51.7872340425532
301489.SZ,20240311,73.5,77.5,71.84,76.24,78.78,-2.54,-3.2242,49839.1,372900.58,1.0,54.0709219858156,52.12765957446809,54.9645390070922,50.950354609929086
301489.SZ,20240312,76.4,81.28,74.96,76.4,76.24,0.16,0.2099,47482.3,371722.349,1.0,54.18439716312057,54.18439716312057,57.64539007092199,53.16312056737589
301489.SZ,20240313,77.0,77.43,72.06,74.01,76.4,-2.39,-3.1283,39184.96,290050.496,1.0,52.48936170212767,54.60992907801419,54.914893617021285,51.10638297872341
301489.SZ,20240314,72.6,72.6,69.58,71.24,74.01,-2.77,-3.7427,35670.49,253713.07,1.0,50.52482269503546,51.48936170212766,51.48936170212766,49.347517730496456
301489.SZ,20240315,71.8,74.85,70.15,74.29,71.24,3.05,4.2813,36877.03,270912.681,1.0,52.68794326241135,50.92198581560284,53.08510638297872,49.751773049645394
301489.SZ,20240318,75.39,87.78,74.5,84.79,74.29,10.5,14.1338,65499.39,526198.732,1.0,60.13475177304965,53.46808510638298,62.255319148936174,52.83687943262412
301489.SZ,20240319,82.0,91.5,81.5,81.86,84.79,-2.93,-3.4556,62794.9,537118.73,1.0,58.05673758865249,58.15602836879433,64.8936170212766,57.80141843971632
301489.SZ,20240320,80.34,88.96,79.01,87.85,81.86,5.99,7.3174,60429.51,506629.012,1.0,62.304964539007095,56.97872340425533,63.09219858156028,56.03546099290781
301489.SZ,20240321,86.51,91.15,84.01,88.32,87.85,0.47,0.535,54749.16,478086.531,1.0,62.63829787234042,61.35460992907802,64.64539007092199,59.58156028368795
301489.SZ,20240322,87.85,97.0,85.39,88.6,88.32,0.28,0.317,62309.03,563384.723,1.0,62.83687943262412,62.304964539007095,68.79432624113475,60.56028368794327
301489.SZ,20240325,87.9,88.7,80.1,81.8,88.6,-6.8,-7.6749,38489.51,323868.16,1.0,58.01418439716312,62.3404255319149,62.907801418439725,56.80851063829788
301489.SZ,20240326,80.9,82.97,78.0,80.7,81.8,-1.1,-1.3447,29680.48,238744.602,1.0,57.23404255319149,57.375886524822704,58.84397163120568,55.319148936170215
301489.SZ,20240327,79.77,79.81,73.6,74.31,80.7,-6.39,-7.9182,30071.79,228254.018,1.0,52.70212765957447,56.57446808510638,56.60283687943263,52.198581560283685
301489.SZ,20240328,74.0,81.2,73.16,79.22,74.31,4.91,6.6075,35915.53,280887.837,1.0,56.18439716312057,52.4822695035461,57.58865248226951,51.88652482269504
301489.SZ,20240329,79.1,90.93,76.45,87.0,79.22,7.78,9.8208,52224.13,430752.042,1.0,61.70212765957447,56.09929078014184,64.48936170212767,54.21985815602837
301489.SZ,20240401,85.13,92.19,84.4,88.55,87.0,1.55,1.7816,53043.42,466046.43,1.0,62.80141843971632,60.3758865248227,65.38297872340426,59.8581560283688
301489.SZ,20240402,87.58,91.0,85.7,87.3,88.55,-1.25,-1.4116,39657.15,349558.156,1.0,61.91489361702128,62.11347517730497,64.53900709219859,60.780141843971634
301489.SZ,20240403,86.0,92.78,85.21,91.7,87.3,4.4,5.0401,49294.18,441744.833,1.0,65.0354609929078,60.99290780141844,65.80141843971631,60.43262411347518
301489.SZ,20240408,87.6,87.6,75.86,76.31,91.7,-15.39,-16.783,45037.94,359610.647,1.0,54.12056737588653,62.12765957446808,62.12765957446808,53.80141843971632
301489.SZ,20240409,77.01,80.88,76.5,79.33,76.31,3.02,3.9575,30742.63,240646.911,1.0,56.26241134751773,54.61702127659575,57.361702127659576,54.255319148936174
301489.SZ,20240410,78.83,79.33,74.34,75.1,79.33,-4.23,-5.3322,27721.84,211035.453,1.0,53.26241134751773,55.90780141843972,56.26241134751773,52.72340425531915
